model,TAD,mean_cp_sim,mean_cp_dig
1,0.25,0,0.16
1,0.75,14.79743735,8.21
1,1.5,7.557261641,6.03
1,2,5.317043227,4.67
1,3,3.426456879,3.98
1,4,2.597545692,2.373333333
1,6,1.752217224,1.03
1,12,0.835943353,0.21
2,0,0,0.65
2,0.3,0,7.21
2,0.6,16.48727077,13.1
2,1,12.09682256,12.61
2,1.5,8.496100819,9.89
2,3,4.040136505,5.51
2,4,2.894579868,3.85
2,6,1.834469572,3.01
2,9,1.182784772,1.97
3,0,0,2.316666667
3,1,10.19435675,3.56547619
3,2,5.444531715,3.070535714
3,3,3.487195242,2.59625
3,4,2.49250066,2.334090909
5,0,0,0.26
5,0.3,0,0.33
5,0.6,13.41193943,6.01
5,2,5.792073905,2.45
5,6,1.872484232,0.49
5,8,1.373189023,0.46
5,12,0.886632585,0.25
13,0,0,1.896666667
13,0.25,0,2.47
13,0.3,0,4.049090909
13,0.5,14.61253137,8.018333333
13,0.6,14.65544262,12.11
13,0.75,13.56951068,13.68142857
13,1,11.24589774,13.9325
13,1.25,9.289990171,13.06
13,1.5,7.798523294,10.522
13,2,5.791294775,7.1725
13,2.5,4.544253173,6.02
13,3,3.706233927,4.226666667
13,4,2.660633846,3.133
13,5,2.040518978,2.653333333
13,6,1.635045002,2.338333333
13,8,1.147808028,2.123333333
13,10,0.874709217,1.952857143
13,12,0.705237496,1.846666667
4,0,0,0
4,0.5,23.80807305,6.5
4,1,17.03128426,2.54
4,2,9.733538702,0.56
4,6,2.656035917,0.28
4,12,1.31602891,0.2
7,0.3,0,3.795
7,0.6,22.21235883,8.678888889
7,1,16.18079007,13.22833333
7,1.5,10.61334903,12.198
7,2,7.533913618,8.614545455
7,3,4.509537392,5.65875
7,4,3.117869521,3.495555556
7,6,1.895127403,2.912222222
7,9,1.207951721,2.86625
7,12,0.906078387,2.91
21,0,0,1.49
21,0.5,32.40793696,10.845
21,3,8.608487848,6.66
21,4,6.233429711,4.36
21,6,3.915721854,2.935
21,8,2.810314311,1.76
21,10,2.178149441,0.98
21,12,1.775676908,1.55
22,0.6,12.31221816,1.0925
22,1,8.990970958,2.134444444
22,1.5,7.192762632,3.709
22,2,5.868586383,3.665333333
22,3,4.095681862,2.66
22,4,3.101404747,1.726842105
22,6,2.088369359,1.198888889
22,9,1.38793013,1.043
23,0,0,7.988461538
23,0.5,24.06129394,11.76545455
23,1,16.78466609,7.793157895
23,2,6.857954485,4.101666667
23,4,3.435190996,2.777173913
23,8,1.846559402,2.3684
23,12,1.211643352,2.320357143
