model,TAD,mean_cp_sim,mean_cp_dig
1,0.25,1.917148636,0.16
1,0.75,5.605362058,8.21
1,1.5,3.79726966,6.03
1,2,2.955475735,4.67
1,3,2.020132451,3.98
1,4,1.555065711,2.373333333
1,6,1.093721566,1.03
1,12,0.580446757,0.21
2,0,0,0.65
2,0.3,7.505410843,7.21
2,0.6,9.597831382,13.1
2,1,6.916625869,12.61
2,1.5,4.652387115,9.89
2,3,2.153035131,5.51
2,4,1.584399882,3.85
2,6,1.050726976,3.01
2,9,0.700459976,1.97
3,0,0,2.316666667
3,1,4.210627725,3.56547619
3,2,2.389813073,3.070535714
3,3,1.583374534,2.59625
3,4,1.173847335,2.334090909
5,0,0,0.26
5,0.3,4.821939642,0.33
5,0.6,6.413892243,6.01
5,2,2.955428472,2.45
5,6,0.964846779,0.49
5,8,0.732059213,0.46
5,12,0.49804182,0.25
13,0,0,1.896666667
13,0.25,0.764903741,2.47
13,0.3,1.345406566,4.049090909
13,0.5,2.325577464,8.018333333
13,0.6,2.506923055,12.11
13,0.75,2.628871991,13.68142857
13,1,2.638880519,13.9325
13,1.25,2.546239409,13.06
13,1.5,2.416793766,10.522
13,2,2.14179642,7.1725
13,2.5,1.895323544,6.02
13,3,1.689156116,4.226666667
13,4,1.379154373,3.133
13,5,1.164043296,2.653333333
13,6,1.007960632,2.338333333
13,8,0.79634155,2.123333333
13,10,0.657604284,1.952857143
13,12,0.558037199,1.846666667
4,0,0,0
4,0.5,22.65609963,6.5
4,1,12.15765915,2.54
4,2,5.287108273,0.56
4,6,1.769355555,0.28
4,12,0.907029091,0.2
7,0.3,6.902171519,3.795
7,0.6,9.792788528,8.678888889
7,1,7.617588615,13.22833333
7,1.5,5.333027999,12.198
7,2,3.953197162,8.614545455
7,3,2.5668808,5.65875
7,4,1.92569829,3.495555556
7,6,1.321368976,2.912222222
7,9,0.905070712,2.86625
7,12,0.672237378,2.91
21,0,0,1.49
21,0.5,28.65296757,10.845
21,3,4.489425419,6.66
21,4,3.391710108,4.36
21,6,2.337974838,2.935
21,8,1.794164937,1.76
21,10,1.444019318,0.98
21,12,1.194523517,1.55
22,0.6,1.618062232,1.0925
22,1,0.983047896,2.134444444
22,1.5,0.550551538,3.709
22,2,0.355324914,3.665333333
22,3,0.196937983,2.66
22,4,0.128825088,1.726842105
22,6,0.064321172,1.198888889
22,9,0.026918015,1.043
23,0,0,7.988461538
23,0.5,16.74415992,11.76545455
23,1,10.1781582,7.793157895
23,2,4.210073922,4.101666667
23,4,1.979129969,2.777173913
23,8,1.068160221,2.3684
23,12,0.713197681,2.320357143
