model,TAD,mean_cp_sim,mean_cp_dig
1,0.25,0,0.16
1,0.75,2.688667717,8.21
1,1.5,9.121713743,6.03
1,2,7.370154964,4.67
1,3,4.535356675,3.98
1,4,3.091374478,2.373333333
1,6,1.904114749,1.03
1,12,0.928832932,0.21
2,0,0,0.65
2,0.3,0,7.21
2,0.6,0,13.1
2,1,11.89554242,12.61
2,1.5,14.44256351,9.89
2,3,7.238137661,5.51
2,4,4.794900228,3.85
2,6,3.076068033,3.01
2,9,2.276397655,1.97
3,0,0,2.316666667
3,1,8.453122162,3.56547619
3,2,7.508478176,3.070535714
3,3,4.220831961,2.59625
3,4,2.662185095,2.334090909
5,0,0,0.26
5,0.3,0,0.33
5,0.6,0,6.01
5,2,9.074753291,2.45
5,6,2.369090863,0.49
5,8,1.880799549,0.46
5,12,1.399231819,0.25
13,0,0,1.896666667
13,0.25,0,2.47
13,0.3,0,4.049090909
13,0.5,0,8.018333333
13,0.6,0,12.11
13,0.75,2.661593356,13.68142857
13,1,8.282315483,13.9325
13,1.25,9.90881624,13.06
13,1.5,9.942379675,10.522
13,2,8.471756765,7.1725
13,2.5,6.771957643,6.02
13,3,5.41838954,4.226666667
13,4,3.751448625,3.133
13,5,2.914164253,2.653333333
13,6,2.453723277,2.338333333
13,8,1.959372397,2.123333333
13,10,1.669270202,1.952857143
13,12,1.458118239,1.846666667
4,0,0,0
4,0.5,0,6.5
4,1,18.58494936,2.54
4,2,18.76810881,0.56
4,6,6.290383948,0.28
4,12,4.507020273,0.2
7,0.3,0,3.795
7,0.6,0,8.678888889
7,1,14.21185523,13.22833333
7,1.5,18.24301888,12.198
7,2,16.31499827,8.614545455
7,3,11.26242029,5.65875
7,4,8.299365788,3.495555556
7,6,6.007142574,2.912222222
7,9,4.912078422,2.86625
7,12,4.30923571,2.91
21,0,0,1.49
21,0.5,0,10.845
21,3,18.98627836,6.66
21,4,14.2537001,4.36
21,6,10.68988415,2.935
21,8,9.36835358,1.76
21,10,8.564744891,0.98
21,12,7.940295724,1.55
22,0.6,0,1.0925
22,1,9.949166223,2.134444444
22,1.5,11.91756259,3.709
22,2,10.15653603,3.665333333
22,3,6.53239073,2.66
22,4,4.551175733,1.726842105
22,6,3.033495368,1.198888889
22,9,2.303463912,1.043
23,0,0,7.988461538
23,0.5,0,11.76545455
23,1,14.03894154,7.793157895
23,2,14.79122344,4.101666667
23,4,7.583517364,2.777173913
23,8,4.945384214,2.3684
23,12,4.0324313,2.320357143
