model,TAD,mean_cp_sim,mean_cp_dig
1,0.25,5.323731573,0.16
1,0.75,14.93880492,8.21
1,1.5,13.03101357,6.03
1,2,10.44130977,4.67
1,3,6.759073046,3.98
1,4,4.76990278,2.373333333
1,6,2.920028206,1.03
1,12,1.203505426,0.21
2,0,0,0.65
2,0.3,7.645686445,7.21
2,0.6,14.09988817,13.1
2,1,14.86582987,12.61
2,1.5,12.30440554,9.89
2,3,5.983119171,5.51
2,4,4.186036325,3.85
2,6,2.605124459,3.01
2,9,1.661890967,1.97
3,0,0,2.316666667
3,1,15.8893118,3.56547619
3,2,10.25683711,3.070535714
3,3,6.281393274,2.59625
3,4,4.247128314,2.334090909
5,0,0,0.26
5,0.3,8.255649285,0.33
5,0.6,14.94434339,6.01
5,2,9.402425509,2.45
5,6,2.420115643,0.49
5,8,1.751394043,0.46
5,12,1.090264427,0.25
13,0,0,1.896666667
13,0.25,6.057553193,2.47
13,0.3,8.22791097,4.049090909
13,0.5,13.62156135,8.018333333
13,0.6,14.91964291,12.11
13,0.75,15.77550066,13.68142857
13,1,15.4930344,13.9325
13,1.25,14.23776,13.06
13,1.5,12.70468082,10.522
13,2,9.854480262,7.1725
13,2.5,7.704273606,6.02
13,3,6.178219902,4.226666667
13,4,4.301184189,3.133
13,5,3.248441443,2.653333333
13,6,2.589754812,2.338333333
13,8,1.816982424,2.123333333
13,10,1.378625873,1.952857143
13,12,1.095758489,1.846666667
4,0,0,0
4,0.5,13.1294842,6.5
4,1,15.17645344,2.54
4,2,9.845006824,0.56
4,6,2.622789556,0.28
4,12,1.1259459,0.2
7,0.3,4.60415308,3.795
7,0.6,8.467333329,8.678888889
7,1,8.972114093,13.22833333
7,1.5,7.529262875,12.198
7,2,5.946170199,8.614545455
7,3,3.806408174,5.65875
7,4,2.673297054,3.495555556
7,6,1.619710522,2.912222222
7,9,0.983135423,2.86625
7,12,0.681099988,2.91
21,0,0,1.49
21,0.5,12.95180014,10.845
21,3,6.661913887,6.66
21,4,4.720553443,4.36
21,6,2.873739805,2.935
21,8,2.024913899,1.76
21,10,1.543605824,0.98
21,12,1.233434093,1.55
22,0.6,8.59962944,1.0925
22,1,8.583078418,2.134444444
22,1.5,6.851062141,3.709
22,2,5.295204183,3.665333333
22,3,3.438381338,2.66
22,4,2.503392205,1.726842105
22,6,1.570710012,1.198888889
22,9,0.928525262,1.043
23,0,0,7.988461538
23,0.5,11.60984797,11.76545455
23,1,12.56022723,7.793157895
23,2,7.186316557,4.101666667
23,4,2.781069572,2.777173913
23,8,1.079817917,2.3684
23,12,0.623367285,2.320357143
